stopIdentifier,stopNr,Longitude,Latitude,DemandWeight,DemandVolume,BoxAmount,TourStopId
08ede0ebce080795af9f16b519a7d085,0,13.3069357,52.5013048,0,0,0,0
36ae9f5eff65c741f8d6a0731a3826cd,1,13.3256591,52.5073616,4.11,34.2,1,42677
5959167cea05d81c6fc9ca03929a2659,2,13.3072455,52.5024799,11.92274,102.60000000000001,3,42678
46a300fedd6d4d03b7e9c35b62d948ad,3,13.3038822,52.4960573,8.01,68.4,2,42679
b4ac1420ed3b27aedb98a23277bbe0bf,4,13.2944024,52.4950604,96.73092000000003,102.60000000000001,3,42680
bccf5dbdd88200f6db9f0a3d26b811f7,5,13.2906276,52.4978875,16.75,68.4,2,42681
9c4147d65b9460f381622546177dbd30,6,13.3177659,52.50159739999999,3.71,34.2,1,42682
ffd417ce3670cfebcd479a38fd8068e3,7,13.3136686,52.497314,5.24,68.4,2,42683
f4c4860c96b9536c5d9846b27640c738,8,13.3120193,52.4971471,4.9,34.2,1,42684
eb522c7d0f606a9fe84565e58fbab9ea,9,13.3093849,52.49380799999999,36.17333,140.4,4,42686
e2f33bdc61049daa138c66e6dfaa31d4,10,13.31603,52.49386,12.13752,68.4,2,42687
b5644f50b557628a6d5ed873d219bd52,11,13.3173184,52.49367700000001,13.66533,102.60000000000001,3,42688
bbd108674ec85854f4de740aa904e577,12,13.31842,52.49599,1.9,34.2,1,42689
7bf57cbc90009a83b77ce95b1abf3368,13,13.3223879,52.4951292,3.05,34.2,1,42690
a8821f375190e85592516b5c8a8b51a1,14,13.3278272,52.4960978,24.22809,136.8,4,42691
75b88b096573ed4bd679491e30981a02,15,13.32679,52.5053,14.09994,68.4,2,42692
0addc56e7712c815b18c76ceebffb96f,16,13.33476,52.49823,6.28,68.4,2,42693
cd5e6707ef7f7f8b099d9ee843ceccc9,17,13.33782,52.49692,15.92314,102.60000000000001,3,42694
56c442528fef0d7d62f32438c8ddf701,18,13.3014858,52.5018348,30.96,140.4,4,42695
f504eb5acbc7b42542e0944ea3b07a5b,19,13.3003947,52.5027245,11.022250000000001,68.4,2,42696
4c9b556b47e4b39730bab788b8e53c1b,20,13.3026188,52.503386,8.5849,102.60000000000001,3,42697
